Index,Year,Suburb,OffenceType,CPI-Annual-Change
0,2007,BALMORAL,GOOD_ORDER,HIGH
1,2007,BALMORAL,THEFT,HIGH
2,2007,BALMORAL,THEFT,HIGH
3,2008,BALMORAL,UNLAWFUL_ENTRY,VERY HIGH
4,2009,BALMORAL,UNLAWFUL_ENTRY,VERY HIGH
5,2009,BALMORAL,UNLAWFUL_ENTRY,VERY HIGH
6,2012,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
7,2013,BALMORAL,PROPERTY_DAMAGE,VERY LOW
8,2013,BALMORAL,THEFT,VERY LOW
9,2014,BALMORAL,THEFT,MEDIUM
10,2016,BALMORAL,PROPERTY_DAMAGE,VERY LOW
11,2007,BALMORAL,UNLAWFUL_ENTRY,HIGH
12,2009,BALMORAL,ASSAULT,VERY HIGH
13,2013,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
14,2013,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
15,2013,BALMORAL,THEFT,VERY LOW
16,2014,BALMORAL,THEFT,MEDIUM
17,2014,BALMORAL,UNLAWFUL_ENTRY,MEDIUM
18,2014,BALMORAL,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
19,2015,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
20,2017,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
21,2017,BALMORAL,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
22,2017,BALMORAL,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
23,2007,BALMORAL,GOOD_ORDER,HIGH
24,2010,BALMORAL,PROPERTY_DAMAGE,MEDIUM
25,2010,BALMORAL,PROPERTY_DAMAGE,MEDIUM
26,2007,BALMORAL,UNLAWFUL_ENTRY,HIGH
27,2008,BALMORAL,UNLAWFUL_ENTRY,VERY HIGH
28,2008,BALMORAL,UNLAWFUL_ENTRY,VERY HIGH
29,2009,BALMORAL,PROPERTY_DAMAGE,VERY HIGH
30,2010,BALMORAL,UNLAWFUL_ENTRY,MEDIUM
31,2013,BALMORAL,THEFT,VERY LOW
32,2012,BALMORAL,THEFT,VERY LOW
33,2013,BALMORAL,PROPERTY_DAMAGE,VERY LOW
34,2014,BALMORAL,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
35,2014,BALMORAL,THEFT,MEDIUM
36,2014,BALMORAL,THEFT,MEDIUM
37,2015,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
38,2015,BALMORAL,THEFT,VERY LOW
39,2017,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
40,2017,BALMORAL,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
41,2017,BALMORAL,THEFT,VERY LOW
42,2007,BALMORAL,THEFT,HIGH
43,2008,BALMORAL,GOOD_ORDER,VERY HIGH
44,2009,BALMORAL,PROPERTY_DAMAGE,VERY HIGH
45,2010,BALMORAL,PROPERTY_DAMAGE,MEDIUM
46,2010,BALMORAL,UNLAWFUL_ENTRY,MEDIUM
47,2013,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
48,2013,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
49,2014,BALMORAL,THEFT,MEDIUM
50,2016,BALMORAL,THEFT,VERY LOW
51,2016,BALMORAL,THEFT,VERY LOW
52,2016,BALMORAL,UNLAWFUL_ENTRY,VERY LOW
53,2016,BALMORAL,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
54,2017,BALMORAL,DRUG,VERY LOW
55,2007,BALMORAL,GOOD_ORDER,HIGH
56,2007,BALMORAL,GOOD_ORDER,HIGH
57,2007,BALMORAL,GOOD_ORDER,HIGH
58,2007,BALMORAL,DRUG,HIGH
59,2007,BALMORAL,GOOD_ORDER,HIGH
60,2010,BALMORAL,PROPERTY_DAMAGE,MEDIUM
61,2010,BALMORAL,PROPERTY_DAMAGE,MEDIUM
62,2010,BALMORAL,PROPERTY_DAMAGE,MEDIUM
63,2010,BALMORAL,PROPERTY_DAMAGE,MEDIUM
64,2010,BALMORAL,PROPERTY_DAMAGE,MEDIUM
65,2009,BALMORAL,GOOD_ORDER,VERY HIGH
66,2009,BALMORAL,UNLAWFUL_MOTOR_VEHICLE,VERY HIGH
67,2010,BALMORAL,THEFT,MEDIUM
68,2013,BALMORAL,GOOD_ORDER,VERY LOW
69,2013,BALMORAL,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
70,2013,BALMORAL,THEFT,VERY LOW
71,2014,BALMORAL,DRUG,MEDIUM
72,2014,BALMORAL,GOOD_ORDER,MEDIUM
73,2015,BALMORAL,GOOD_ORDER,VERY LOW
74,2007,BALMORAL,PROPERTY_DAMAGE,HIGH
75,2007,BALMORAL,UNLAWFUL_ENTRY,HIGH
76,2010,BALMORAL,PROPERTY_DAMAGE,MEDIUM
77,2011,BALMORAL,UNLAWFUL_ENTRY,HIGH
78,2007,BALMORAL,DRUG,HIGH
