Index,Year,Suburb,OffenceType,CPI-Annual-Change
0,2010,FIG TREE POCKET,GOOD_ORDER,MEDIUM
1,2007,ANSTEAD,GOOD_ORDER,HIGH
2,2007,ANSTEAD,ASSAULT,HIGH
3,2007,ANSTEAD,PROPERTY_DAMAGE,HIGH
4,2007,ANSTEAD,GOOD_ORDER,HIGH
5,2008,ANSTEAD,UNLAWFUL_ENTRY,VERY HIGH
6,2008,ANSTEAD,GOOD_ORDER,VERY HIGH
7,2010,ANSTEAD,GOOD_ORDER,MEDIUM
8,2010,ANSTEAD,UNLAWFUL_ENTRY,MEDIUM
9,2011,ANSTEAD,PROPERTY_DAMAGE,HIGH
10,2011,ANSTEAD,THEFT,HIGH
11,2011,ANSTEAD,THEFT,HIGH
12,2011,ANSTEAD,GOOD_ORDER,HIGH
13,2012,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
14,2012,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
15,2012,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
16,2012,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
17,2012,ANSTEAD,THEFT,VERY LOW
18,2013,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
19,2013,ANSTEAD,THEFT,VERY LOW
20,2013,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
21,2013,ANSTEAD,THEFT,VERY LOW
22,2013,ANSTEAD,THEFT,VERY LOW
23,2013,ANSTEAD,GOOD_ORDER,VERY LOW
24,2013,ANSTEAD,GOOD_ORDER,VERY LOW
25,2015,ANSTEAD,THEFT,VERY LOW
26,2015,ANSTEAD,THEFT,VERY LOW
27,2015,ANSTEAD,PROPERTY_DAMAGE,VERY LOW
28,2015,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
29,2016,ANSTEAD,GOOD_ORDER,VERY LOW
30,2016,ANSTEAD,GOOD_ORDER,VERY LOW
31,2016,ANSTEAD,GOOD_ORDER,VERY LOW
32,2016,ANSTEAD,THEFT,VERY LOW
33,2016,ANSTEAD,THEFT,VERY LOW
34,2016,ANSTEAD,PROPERTY_DAMAGE,VERY LOW
35,2016,ANSTEAD,PROPERTY_DAMAGE,VERY LOW
36,2016,ANSTEAD,PROPERTY_DAMAGE,VERY LOW
37,2016,ANSTEAD,PROPERTY_DAMAGE,VERY LOW
38,2007,ANSTEAD,UNLAWFUL_MOTOR_VEHICLE,HIGH
39,2007,ANSTEAD,UNLAWFUL_ENTRY,HIGH
40,2007,ANSTEAD,PROPERTY_DAMAGE,HIGH
41,2010,ANSTEAD,PROPERTY_DAMAGE,MEDIUM
42,2013,ANSTEAD,THEFT,VERY LOW
43,2017,ANSTEAD,THEFT,VERY LOW
44,2007,ANSTEAD,UNLAWFUL_ENTRY,HIGH
45,2007,ANSTEAD,THEFT,HIGH
46,2007,ANSTEAD,UNLAWFUL_ENTRY,HIGH
47,2008,ANSTEAD,UNLAWFUL_ENTRY,VERY HIGH
48,2008,ANSTEAD,UNLAWFUL_ENTRY,VERY HIGH
49,2008,ANSTEAD,PROPERTY_DAMAGE,VERY HIGH
50,2008,ANSTEAD,THEFT,VERY HIGH
51,2008,ANSTEAD,THEFT,VERY HIGH
52,2008,ANSTEAD,DRUG,VERY HIGH
53,2008,ANSTEAD,ASSAULT,VERY HIGH
54,2008,ANSTEAD,PROPERTY_DAMAGE,VERY HIGH
55,2009,ANSTEAD,THEFT,VERY HIGH
56,2009,ANSTEAD,THEFT,VERY HIGH
57,2011,ANSTEAD,THEFT,HIGH
58,2011,ANSTEAD,DRUG,HIGH
59,2012,ANSTEAD,THEFT,VERY LOW
60,2012,ANSTEAD,DRUG,VERY LOW
61,2012,ANSTEAD,DRUG,VERY LOW
62,2012,ANSTEAD,PROPERTY_DAMAGE,VERY LOW
63,2012,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
64,2012,ANSTEAD,DRUG,VERY LOW
65,2013,ANSTEAD,FRAUD,VERY LOW
66,2014,ANSTEAD,PROPERTY_DAMAGE,MEDIUM
67,2014,ANSTEAD,PROPERTY_DAMAGE,MEDIUM
68,2014,ANSTEAD,UNLAWFUL_MOTOR_VEHICLE,MEDIUM
69,2014,ANSTEAD,THEFT,MEDIUM
70,2015,ANSTEAD,UNLAWFUL_MOTOR_VEHICLE,VERY LOW
71,2016,ANSTEAD,GOOD_ORDER,VERY LOW
72,2016,ANSTEAD,GOOD_ORDER,VERY LOW
73,2017,ANSTEAD,PROPERTY_DAMAGE,VERY LOW
74,2017,ANSTEAD,THEFT,VERY LOW
75,2007,ANSTEAD,PROPERTY_DAMAGE,HIGH
76,2007,ANSTEAD,GOOD_ORDER,HIGH
77,2007,ANSTEAD,GOOD_ORDER,HIGH
78,2008,ANSTEAD,DRUG,VERY HIGH
79,2008,ANSTEAD,DRUG,VERY HIGH
80,2008,ANSTEAD,UNLAWFUL_ENTRY,VERY HIGH
81,2008,ANSTEAD,UNLAWFUL_ENTRY,VERY HIGH
82,2008,ANSTEAD,UNLAWFUL_ENTRY,VERY HIGH
83,2008,ANSTEAD,PROPERTY_DAMAGE,VERY HIGH
84,2008,ANSTEAD,UNLAWFUL_ENTRY,VERY HIGH
85,2008,ANSTEAD,PROPERTY_DAMAGE,VERY HIGH
86,2008,ANSTEAD,DRUG,VERY HIGH
87,2009,ANSTEAD,GOOD_ORDER,VERY HIGH
88,2009,ANSTEAD,DRUG,VERY HIGH
89,2009,ANSTEAD,DRUG,VERY HIGH
90,2009,ANSTEAD,UNLAWFUL_ENTRY,VERY HIGH
91,2009,ANSTEAD,THEFT,VERY HIGH
92,2009,ANSTEAD,DRUG,VERY HIGH
93,2009,ANSTEAD,PROPERTY_DAMAGE,VERY HIGH
94,2009,ANSTEAD,UNLAWFUL_ENTRY,VERY HIGH
95,2009,ANSTEAD,THEFT,VERY HIGH
96,2011,ANSTEAD,UNLAWFUL_ENTRY,HIGH
97,2012,ANSTEAD,DRUG,VERY LOW
98,2012,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
99,2012,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
100,2012,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
101,2012,ANSTEAD,THEFT,VERY LOW
102,2013,ANSTEAD,THEFT,VERY LOW
103,2013,ANSTEAD,ASSAULT,VERY LOW
104,2013,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
105,2013,ANSTEAD,THEFT,VERY LOW
106,2013,ANSTEAD,HOMOCIDE,VERY LOW
107,2013,ANSTEAD,UNLAWFUL_ENTRY,VERY LOW
