,High,Count
0,ANSTEAD,7
1,ASHGROVE,171
2,AUCHENFLOWER,53
3,BARDON,34
4,BELLBOWRIE,25
5,BROOKFIELD,10
6,CHAPEL HILL,36
7,CHELMER,24
8,CHUWAR,3
9,CORINDA,74
10,ENOGGERA,84
11,FERNY GROVE,45
12,FIG TREE POCKET,18
13,GRACEVILLE,62
14,INDOOROOPILLY,558
15,JAMBOREE HEIGHTS,30
16,JINDALEE,95
17,KARANA DOWNS,22
18,KENMORE,119
19,KENMORE HILLS,2
20,KHOLO,2
21,MIDDLE PARK,22
22,MILTON,105
23,MOGGILL,14
24,MOUNT COOT THA,1
25,MOUNT COOTTHA,4
26,MOUNT CROSBY,6
27,MOUNT OMMANEY,162
28,OXLEY,284
29,PINJARRA HILLS,3
30,PULLENVALE,6
31,RIVERHILLS,37
32,SAINT LUCIA,1
33,SHERWOOD,56
34,SINNAMON PARK,124
35,ST LUCIA,130
36,TARINGA,66
37,THE GAP,118
38,TOOWONG,268
39,UPPER BROOKFIELD,2
40,UPPER KEDRON,6
41,WESTLAKE,19
42,ACACIA RIDGE,114
43,ALGESTER,37
44,ANNERLEY,176
45,ARCHERFIELD,22
46,BURBANK,3
47,CALAMVALE,102
48,COOPERS PLAINS,76
49,DARRA,44
50,DOOLANDELLA,37
51,DREWVALE,11
52,DURACK,38
53,DUTTON PARK,28
54,EIGHT MILE PLAINS,108
55,ELLEN GROVE,19
56,FAIRFIELD,72
57,FOREST LAKE,172
58,GREENSLOPES,115
59,HEATHWOOD,39
60,HOLLAND PARK,53
61,HOLLAND PARK WEST,59
62,INALA,246
63,KARAWATHA,9
64,KURABY,59
65,LARAPINTA,12
66,MACGREGOR,68
67,MACKENZIE,26
68,MANSFIELD,38
69,MOOROOKA,119
70,MOUNT GRAVATT,67
71,MOUNT GRAVATT EAST,72
72,NATHAN,12
73,PARKINSON,19
74,RICHLANDS,119
75,ROBERTSON,22
76,ROCHEDALE,27
77,ROCKLEA,132
78,RUNCORN,60
79,SALISBURY,70
80,SEVENTEEN MILE ROCKS,10
81,STRETTON,26
82,SUMNER,32
83,SUNNYBANK,185
84,SUNNYBANK HILLS,190
85,TARRAGINDI,24
86,TENNYSON,3
87,UPPER MOUNT GRAVATT,437
88,WACOL,57
89,WILLAWONG,5
90,WISHART,57
91,YEERONGPILLY,18
92,YERONGA,52
93,BRISBANE CITY,2391
94,NEW FARM,212
95,BOWEN HILLS,253
96,SOUTH BRISBANE,727
97,SPRING HILL,258
98,FORTITUDE VALLEY,912
99,NEWSTEAD,201
100,HIGHGATE HILL,77
101,WOOLLOONGABBA,342
102,RED HILL,56
103,PADDINGTON,69
104,KANGAROO POINT,239
105,PETRIE TERRACE,50
106,HERSTON,77
107,KELVIN GROVE,126
108,WEST END,275
109,TENERIFFE,60
110,EAST BRISBANE,168
111,BURANDA,2
112,ALBION,119
113,HAMILTON,152
114,ASCOT,148
115,CLAYFIELD,134
116,ALDERLEY,51
117,ASPLEY,414
118,CHERMSIDE,759
119,BRACKEN RIDGE,220
120,BALD HILLS,152
121,BANYO,335
122,NORTHGATE,92
123,BOONDALL,79
124,TAIGUM,125
125,BRIDGEMAN DOWNS,54
126,BRIGHTON,64
127,CARSELDINE,171
128,CHERMSIDE WEST,48
129,DEAGON,116
130,GAYTHORNE,48
131,EVERTON PARK,119
132,STAFFORD HEIGHTS,91
133,GEEBUNG,97
134,ZILLMERE,141
135,GRANGE,41
136,WILSTON,46
137,HENDRA,71
138,GORDON PARK,29
139,KEDRON,161
140,STAFFORD,177
141,KEPERRA,100
142,MITCHELTON,222
143,LUTWYCHE,120
144,MCDOWALL,32
145,NEWMARKET,108
146,NUDGEE BEACH,11
147,NUDGEE,33
148,NUNDAH,490
149,WAVELL HEIGHTS,75
150,EAGLE FARM,47
151,PINKENBA,22
152,BRISBANE AIRPORT,140
153,SANDGATE,197
154,SHORNCLIFFE,22
155,FITZGIBBON,56
156,VIRGINIA,236
157,WINDSOR,185
158,WOOLOOWIN,66
159,KALINGA,18
