,Low,Count
0,ANSTEAD,10
1,ASHGROVE,435
2,AUCHENFLOWER,194
3,BANKS CREEK,1
4,BARDON,133
5,BELLBOWRIE,76
6,BROOKFIELD,40
7,CHAPEL HILL,105
8,CHELMER,61
9,CHUWAR,2
10,CORINDA,210
11,ENOGGERA,271
12,ENOGGERA RESERVOIR,1
13,FERNY GROVE,201
14,FIG TREE POCKET,60
15,GRACEVILLE,174
16,INDOOROOPILLY,1442
17,JAMBOREE HEIGHTS,51
18,JINDALEE,339
19,KARANA DOWNS,54
20,KENMORE,235
21,KENMORE HILLS,29
22,KHOLO,4
23,LAKE MANCHESTER,2
24,MIDDLE PARK,72
25,MILTON,296
26,MOGGILL,25
27,MOUNT COOT THA,98
28,MOUNT CROSBY,8
29,MOUNT OMMANEY,404
30,OXLEY,670
31,PINJARRA HILLS,10
32,PULLENVALE,22
33,RIVERHILLS,115
34,SAINT LUCIA,492
35,SHERWOOD,194
36,SINNAMON PARK,264
37,TARINGA,193
38,THE GAP,300
39,TOOWONG,852
40,TOOWOONG,1
41,UPPER BROOKFIELD,5
42,UPPER KEDRON,26
43,WESTLAKE,55
44,ACACIA RIDGE,628
45,ALGESTER,198
46,ANNERLEY,637
47,ARCHERFIELD,159
48,BURBANK,16
49,CALAMVALE,643
50,COOPERS PLAINS,387
51,DARRA,313
52,DOOLANDELLA,115
53,DREWVALE,139
54,DURACK,340
55,DUTTON PARK,112
56,EIGHT MILE PLAINS,539
57,ELLEN GROVE,122
58,FAIRFIELD,282
59,FOREST LAKE,1190
60,GREENSLOPES,698
61,HEATHWOOD,82
62,HOLLAND PARK,171
63,HOLLAND PARK WEST,242
64,INALA,1239
65,KARAWATHA,115
66,KURABY,145
67,LARAPINTA,42
68,MACGREGOR,248
69,MACKENZIE,142
70,MANSFIELD,268
71,MOOROOKA,637
72,MOUNT GRAVATT,356
73,MOUNT GRAVATT EAST,444
74,NATHAN,172
75,PALLARA,12
76,PARKINSON,271
77,RICHLANDS,327
78,ROBERTSON,74
79,ROCHEDALE,79
80,ROCKLEA,676
81,RUNCORN,419
82,SALISBURY,337
83,SEVENTEEN MILE ROCKS,130
84,STRETTON,106
85,SUMNER,179
86,SUNNYBANK,840
87,SUNNYBANK HILLS,726
88,TARRAGINDI,206
89,TENNYSON,23
90,UPPER MOUNT GRAVATT,1776
91,WACOL,312
92,WILLAWONG,59
93,WISHART,166
94,YEERONGPILLY,104
95,YERONGA,219
96,BRISBANE CITY,8451
97,FORTITUDE VALLEY,4199
98,SOUTH BRISBANE,1892
99,WOOLLOONGABBA,956
100,PADDINGTON,357
101,BOWEN HILLS,571
102,KANGAROO POINT,683
103,WEST END,643
104,PETRIE TERRACE,289
105,NEW FARM,757
106,HERSTON,322
107,RED HILL,373
108,EAST BRISBANE,390
109,TENERIFFE,170
110,SPRING HILL,721
111,KELVIN GROVE,323
112,HIGHGATE HILL,263
113,NEWSTEAD,267
114,SOUTHBANK,7
115,ALBION,244
116,HAMILTON,416
117,CLAYFIELD,416
118,ASCOT,312
119,ALDERLEY,169
120,NEWMARKET,287
121,ASPLEY,807
122,CHERMSIDE,2849
123,APSLEY,1
124,BALD HILLS,318
125,BRACKEN RIDGE,504
126,BANYO,971
127,NORTHGATE,231
128,BOONDALL,330
129,TAIGUM,384
130,FITZGIBBON,65
131,DEAGON,268
132,BRIDGEMAN DOWNS,103
133,BRIGHTON,221
134,CARSELDINE,354
135,CHERMSIDE WEST,97
136,WOOLOOWIN,152
137,NUNDAH,1341
138,GAYTHORNE,104
139,MITCHELTON,762
140,EVERTON PARK,279
141,GEEBUNG,267
142,ZILLMERE,443
143,GRANGE,95
144,WILSTON,106
145,HENDRA,146
146,GORDON PARK,93
147,KEDRON,493
148,WAVELL HEIGHTS,212
149,STAFFORD HEIGHTS,177
150,STAFFORD,622
151,KEPERRA,326
152,LUTWYCHE,344
153,MCDOWALL,80
154,VIRGINIA,405
155,NUDGEE,63
156,NUDGEE BEACH,17
157,EAGLE FARM,152
158,PINKENBA,87
159,BRISBANE AIRPORT,853
160,SANDGATE,344
161,SHORNCLIFFE,78
162,GRIFFIN,2
163,WINDSOR,450
